README.mdiso3;year;month;fatalities
AGO;2008;4;0.0
AGO;2008;5;0.0
AGO;2008;6;0.0
AGO;2008;7;0.0
AGO;2008;8;
AGO;2008;9;
AGO;2008;10;
AGO;2008;11;0.0
AGO;2008;12;0.0
AGO;2009;1;2.0383561643835613
AGO;2009;2;1.841095890410959
AGO;2009;3;2.0383561643835613
AGO;2009;4;1.9726027397260275
AGO;2009;5;2.0383561643835613
AGO;2009;6;1.9726027397260275
AGO;2009;7;2.0383561643835613
AGO;2009;8;3.0383561643835613
AGO;2009;9;1.9726027397260275
AGO;2009;10;2.0383561643835613
AGO;2009;11;1.9726027397260275
AGO;2009;12;2.0383561643835613
AGO;2010;1;2.0
AGO;2010;2;
AGO;2010;3;
AGO;2010;4;
AGO;2010;5;3.0
AGO;2010;6;
AGO;2010;7;
AGO;2010;8;
AGO;2010;9;
AGO;2010;10;
AGO;2010;11;5.0
AGO;2010;12;
AGO;2011;1;
AGO;2011;2;
AGO;2011;3;1.0
AGO;2011;4;0.0
AGO;2011;5;
AGO;2011;6;
AGO;2011;7;
AGO;2011;8;
AGO;2011;9;
AGO;2011;10;
AGO;2011;11;
AGO;2011;12;
AGO;2012;1;
AGO;2012;2;
AGO;2012;3;
AGO;2012;4;
AGO;2012;5;
AGO;2012;6;
AGO;2012;7;
AGO;2012;8;
AGO;2012;9;
AGO;2012;10;
AGO;2012;11;
AGO;2012;12;
AGO;2013;1;
AGO;2013;2;
AGO;2013;3;
AGO;2013;4;
AGO;2013;5;
AGO;2013;6;2.0
AGO;2013;7;
AGO;2013;8;
AGO;2013;9;
AGO;2013;10;
AGO;2013;11;
AGO;2013;12;
AGO;2014;1;
AGO;2014;2;
AGO;2014;3;
AGO;2014;4;
AGO;2014;5;
AGO;2014;6;0.0
AGO;2014;7;0.0
AGO;2014;8;0.0
AGO;2014;9;
AGO;2014;10;
AGO;2014;11;
AGO;2014;12;0.0
AGO;2015;1;
AGO;2015;2;1.0
AGO;2015;3;
AGO;2015;4;
AGO;2015;5;
AGO;2015;6;
AGO;2015;7;
AGO;2015;8;
AGO;2015;9;
AGO;2015;10;
AGO;2015;11;
AGO;2015;12;
AGO;2016;1;1.355191256830601
AGO;2016;2;1.26775956284153
AGO;2016;3;1.355191256830601
AGO;2016;4;1.3114754098360657
